id,created_at,text
1435510370559397889,2021-09-08 07:48:37,Kuasa hukum Saiful Mahdi menyatakan telah berdialog dengan tim hukum Istana Kepresidenan ihwal permohonan amnesti d… https://t.co/GNlFzyJRM3
1435510207749132291,2021-09-08 07:47:58,Laga Liga Spanyol antara Real Madrid vs Celta Vigo akan berlangsung pada akhir pekan ini. Pelatih Madrid Carlo Ance… https://t.co/uLjVyr5PAt
1435510072667303938,2021-09-08 07:47:26,Nafa Urbach meluapkan kekesalannya karena diteror oleh sejumlah pihak penyedia layanan pinjaman online. Ia mengaku… https://t.co/whzvoqmoEB
1435509819167830016,2021-09-08 07:46:26,"Saat ini ada dua jenis manusia di dunia dalam memandang dinosaurus, mereka yang terpesona oleh dunia dalam novel Ju… https://t.co/TakXdB8mIi"
1435509420188782592,2021-09-08 07:44:50,"Usai menghina Indonesia, Direktur Kreatif  Miss Supranational, Andre Sleigh, meminta maaf. Sleigh mengaku telah mem… https://t.co/ykRjZzSGBj"
1435509141255032833,2021-09-08 07:43:44,RT @tempo_english: Minister of Tourism and Creative Economy Sandiaga Uno said his party would socialize the usage of this application so th…
1435508236480745474,2021-09-08 07:40:08,Presiden Joko Widodo menargetkan 70 persen penduduk Indonesia sudah mendapatkan vaksin pada akhir tahun 2021.… https://t.co/5d7wKykJol
1435508088598007810,2021-09-08 07:39:33,"Menurut Luhut, hanya prokes yang ketat yang mampu menangkal paparan virus varian baru yakni varian Mu. #TempoVideo https://t.co/6AcIzUfpru"
1435507794455629830,2021-09-08 07:38:23,"Baru-baru ini, sebuah video yang merekam hubungan antara anjing dan kucing telah membuat netizen tertarik.… https://t.co/XsBVNHZvxu"
1435507605082832897,2021-09-08 07:37:38,Berikut adalah aktivitas yang wajib memakai aplikasi PeduliLindungi. #TempoNasional https://t.co/nKXt2FIQSo
1435507416246865926,2021-09-08 07:36:53,"Pengadilan tertinggi Cape Verde pada Selasa, 7 September 2021, memutuskan akan mengekstradisi buronan Alex Saab ke… https://t.co/lQyZnZthXM"
1435507082342502401,2021-09-08 07:35:33,"Anggota Komisi Pendidikan DPR dari Fraksi Gerindra, Djohar Arifin Husin, mengkritik kurikulum Sekolah Penggerak yan… https://t.co/aV7uqcpdss"
1435505842791464963,2021-09-08 07:30:37,"Jake Dixon mendapat kesempatan untuk turun kembali di kelas utama bersama Petronas Yamaha SRT di MotoGP Aragon, akh… https://t.co/GFDM3fWM7j"
1435505694073970688,2021-09-08 07:30:02,Puting beliung besar yang jarang terlihat pada Sabtu lalu tampak sebanyak tiga kali di lepas pantai Kota Dalian di… https://t.co/ObpUiFpzbx
1435505550410743819,2021-09-08 07:29:28,Cina mengirim satelit pengamatan Bumi baru ke luar angkasa dari Pusat Peluncuran Satelit Taiyuan di Provinsi Shanxi… https://t.co/EQHfYIvpyy
1435505408303534083,2021-09-08 07:28:54,Badan Pencarian dan Pertolongan (Basarnas) Palu kini tengah melakukan pencarian terhadap Kapal Motor (KM) Tiga Putr… https://t.co/bBNrX6Dewh
